request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_38,264.64,affordable_later,wait,2025-09-13:971.30,2025-09-13,none,Pay EUR 971.30 in full on 2025-09-13. Paying earlier would take the balance below the EUR 400.00 minimum.
request_39,150709.49,affordable_later,wait,2026-04-15:208600.00,2026-04-15,none,"Pay INR 208,600.00 in full on 2026-04-15. Paying earlier would take the balance below the INR 213,400.00 minimum."
request_40,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1,500.00 minimum protected."
request_41,8694437.37,affordable_later,wait,2025-11-15:38760000.00,2025-11-15,none,"Pay IDR 38,760,000.00 in full on 2025-11-15. Paying earlier would take the balance below the IDR 25,366,600.00 minimum."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100.00,2026-01-05,none,"Pay INR 52,100.00 today. This leaves at least INR 113,100.00 available over the next 90 days."
request_43,8614226.38,affordable_later,wait,2024-09-15:43339000.00,2024-09-15,none,"Pay IDR 43,339,000.00 in full on 2024-09-15. Paying earlier would take the balance below the IDR 21,398,000.00 minimum."
request_44,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the INR 82,900.00 minimum protected."
request_45,5270799.6,affordable_later,wait,2026-07-15:21983000.00,2026-07-15,none,"Pay IDR 21,983,000.00 in full on 2026-07-15. Paying earlier would take the balance below the IDR 11,149,800.00 minimum."
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714.00|2024-12-31:25714.00,2024-12-03,none,"Use 2 installments of INR 25,714.00, starting 2024-12-03. Total cost INR 51,428.00. This leaves at least INR 84,000.00 available."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.00,2025-05-05,none,"Pay IDR 38,114,000.00 today. This leaves at least IDR 30,049,000.00 available over the next 90 days."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.00,2026-07-25,none,"Pay INR 45,700.00 today. This leaves at least INR 71,300.00 available over the next 90 days."
request_49,15786207.16,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11,902,106.67, starting 2024-03-18. Total cost IDR 35,706,320.01. This leaves at least IDR 20,275,700.00 available."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900.00,2025-08-06,none,"Pay INR 43,900.00 today. This leaves at least INR 99,700.00 available over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.00,2026-01-03,none,"Pay IDR 2,191,000.00 today. This leaves at least IDR 7,811,000.00 available over the next 90 days."
request_52,26529.95,affordable_later,wait,2024-06-14:28870.00,2024-06-14,none,"Pay INR 28,870.00 in full on 2024-06-14. Paying earlier would take the balance below the INR 41,500.00 minimum."
request_53,714.36,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-14,none,"Use 3 installments of USD 589.06, starting 2025-11-21. Total cost USD 1,767.18. This leaves at least USD 2,100.00 available."
request_54,6458.77,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-21. None of the available options keeps the ZAR 37,000.00 minimum protected."
request_55,134898.01,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-14,none,"Use 3 installments of INR 75,781.33, starting 2026-06-11. Total cost INR 227,343.99. This leaves at least INR 124,300.00 available."
request_56,776.53,affordable_with_plan,partial_payment,2025-02-03:776.53|2025-02-15:105.03,2025-02-15,none,"Pay USD 776.53 today and the remaining USD 105.03 on 2025-02-15. This completes the full request and keeps the USD 2,100.00 minimum protected."
request_57,14723.94,affordable_later,wait,2026-05-14:61446.00,2026-05-14,none,"Pay ZAR 61,446.00 in full on 2026-05-14. Paying earlier would take the balance below the ZAR 42,700.00 minimum."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000.00,2024-12-07,none,"Pay IDR 16,226,000.00 today. This leaves at least IDR 14,433,900.00 available over the next 90 days."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 2025-05-07. Total cost INR 146,223.99. This leaves at least INR 132,600.00 available."
request_60,72.62,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-04. None of the available options keeps the USD 400.00 minimum protected.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 2024-03-17. Total cost ZAR 30,224.49. This leaves at least ZAR 36,700.00 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300.00 available over the next 90 days."
request_63,44275.76,affordable_with_plan,partial_payment,2026-07-07:44275.76|2026-08-14:299624.24,2026-08-14,none,"Pay INR 44,275.76 today and the remaining INR 299,624.24 on 2026-08-14. This completes the full request and keeps the INR 153,500.00 minimum protected."
request_64,47150.99,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-14,none,"Use 3 installments of INR 22,082.67, starting 2024-06-11. Total cost INR 66,248.01. This leaves at least INR 36,100.00 available."
request_65,8358.79,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 15,500.00 minimum protected."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.00,2026-04-03,none,"Pay INR 22,200.00 today. This leaves at least INR 80,700.00 available over the next 90 days."
request_67,590.47,affordable_later,wait,2024-09-15:2094.00,2024-09-15,none,"Pay USD 2,094.00 in full on 2024-09-15. Paying earlier would take the balance below the USD 1,200.00 minimum."
request_68,1631.0,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-14,none,"Use 3 installments of USD 725.09, starting 2025-02-14. Total cost USD 2,175.27. This leaves at least USD 1,500.00 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700.00 available over the next 90 days.
request_70,59951.55,affordable_later,wait,2025-01-14:243900.00,2025-01-14,none,"Pay INR 243,900.00 in full on 2025-01-14. Paying earlier would take the balance below the INR 115,000.00 minimum."
request_71,1449581.54,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-05-28. None of the available options keeps the IDR 8,884,800.00 minimum protected."
request_72,9290.68,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-07-14. None of the available options keeps the ZAR 12,200.00 minimum protected."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400.00,2023-01-20,none,"Pay INR 71,400.00 today. This leaves at least INR 103,200.00 available over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.00,2025-08-04,none,"Pay ZAR 5,010.00 today. This leaves at least ZAR 21,900.00 available over the next 90 days."
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 2026-04-09. Total cost ZAR 29,400.81. This leaves at least ZAR 39,000.00 available."
request_76,1385.3,not_affordable,not_recommended,none,2024-06-14,none,"Do not make this payment by 2024-07-30. None of the available options keeps the USD 1,800.00 minimum protected."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700.00,2025-11-05,none,"Pay INR 60,700.00 today. This leaves at least INR 82,200.00 available over the next 90 days."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200.00,2025-10-02,none,"Pay INR 50,200.00 today. This leaves at least INR 55,200.00 available over the next 90 days."
request_79,788.46,affordable_with_plan,partial_payment,2024-09-04:788.46|2024-09-15:1363.14,2024-09-15,none,"Pay EUR 788.46 today and the remaining EUR 1,363.14 on 2024-09-15. This completes the full request and keeps the EUR 1,000.00 minimum protected."
request_80,143464.51,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-21. None of the available options keeps the INR 121,300.00 minimum protected."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076.00,2026-07-03,none,"Pay USD 2,076.00 today. This leaves at least USD 1,600.00 available over the next 90 days."
request_82,355.42,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the USD 1,100.00 minimum protected."
request_83,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-17. None of the available options keeps the INR 37,800.00 minimum protected."
request_84,35162.88,affordable_later,wait,2026-05-14:95400.00,2026-05-14,none,"Pay INR 95,400.00 in full on 2026-05-14. Paying earlier would take the balance below the INR 91,300.00 minimum."
request_85,1270694.73,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-26. None of the available options keeps the IDR 6,396,300.00 minimum protected."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.00,2025-08-03,none,"Pay INR 46,300.00 today. This leaves at least INR 84,900.00 available over the next 90 days."
request_87,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the INR 185,900.00 minimum protected."
request_88,11959.1,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-14,none,"Use 3 installments of ZAR 9,045.23, starting 2024-06-14. Total cost ZAR 27,135.69. This leaves at least ZAR 25,800.00 available."
request_89,10945374.71,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4,768,746.67, starting 2025-11-18. Total cost IDR 14,306,240.01. This leaves at least IDR 12,534,700.00 available."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.00,2026-07-06,none,"Pay ZAR 2,560.00 today. This leaves at least ZAR 7,600.00 available over the next 90 days."
request_91,730.23,affordable_later,wait,2024-10-14:1927.20,2024-10-14,none,"Pay EUR 1,927.20 in full on 2024-10-14. Paying earlier would take the balance below the EUR 2,100.00 minimum."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034.00,2025-02-05,none,"Pay ZAR 34,034.00 today. This leaves at least ZAR 28,100.00 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900.00 available over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572.00,2024-12-04,none,Pay EUR 572.00 today. This leaves at least EUR 600.00 available over the next 90 days.
request_95,59624.74,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-14. None of the available options keeps the INR 145,500.00 minimum protected."
request_96,84764.13,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31,269.33, starting 2026-01-10. Total cost INR 93,807.99. This leaves at least INR 56,500.00 available."
request_97,2929.11,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use 3 installments of ZAR 8,145.28, starting 2024-03-19. Total cost ZAR 24,435.84. This leaves at least ZAR 29,700.00 available."
request_98,11657.7,affordable_later,wait,2025-08-14:27148.00,2025-08-14,none,"Pay ZAR 27,148.00 in full on 2025-08-14. Paying earlier would take the balance below the ZAR 30,000.00 minimum."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062.00,2026-07-04,none,"Pay ZAR 18,062.00 today. This leaves at least ZAR 49,100.00 available over the next 90 days."
request_100,30331.25,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 2024-06-13. Total cost ZAR 38,598.57. This leaves at least ZAR 32,500.00 available."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.00,2025-11-03,none,"Pay INR 143,500.00 today. This leaves at least INR 187,400.00 available over the next 90 days."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. Total cost EUR 1,784.64. This leaves at least EUR 900.00 available."
request_103,14221.64,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-07. None of the available options keeps the INR 125,500.00 minimum protected."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204.00,2025-02-04,none,"Pay ZAR 17,204.00 today. This leaves at least ZAR 24,700.00 available over the next 90 days."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500.00,2026-06-08,none,"Pay INR 53,500.00 today. This leaves at least INR 73,900.00 available over the next 90 days."
request_106,539.53,affordable_later,wait,2025-01-14:2207.70,2025-01-14,none,"Pay EUR 2,207.70 in full on 2025-01-14. Paying earlier would take the balance below the EUR 1,200.00 minimum."
request_107,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-04. None of the available options keeps the EUR 1,600.00 minimum protected."
request_108,7835.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-07-26. None of the available options keeps the ZAR 24,100.00 minimum protected."
request_109,751.55,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. Total cost EUR 1,937.94. This leaves at least EUR 1,700.00 available."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 2025-08-06. Total cost ZAR 23,246.07. This leaves at least ZAR 11,200.00 available."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.00,2026-04-03,none,"Pay IDR 16,625,000.00 today. This leaves at least IDR 23,022,800.00 available over the next 90 days."
request_112,134.79,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-06-14. None of the available options keeps the EUR 500.00 minimum protected.
request_113,26346.88,affordable_later,wait,2026-09-14:36500.00,2026-09-14,none,"Pay INR 36,500.00 in full on 2026-09-14. Paying earlier would take the balance below the INR 82,300.00 minimum."
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300.00,2026-01-04,none,"Pay INR 65,300.00 today. This leaves at least INR 113,400.00 available over the next 90 days."
request_115,16371.22,affordable_later,wait,2024-10-14:80500.00,2024-10-14,none,"Pay INR 80,500.00 in full on 2024-10-14. Paying earlier would take the balance below the INR 38,800.00 minimum."
request_116,27679.52,not_affordable,not_recommended,none,2025-03-17,none,"Do not make this payment by 2025-04-16. None of the available options keeps the INR 80,300.00 minimum protected."
request_117,880.0,affordable_now,full_payment,2026-07-05:880.00,2026-07-05,none,"Pay EUR 880.00 today. This leaves at least EUR 1,000.00 available over the next 90 days."
request_118,491.59,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-08. None of the available options keeps the EUR 600.00 minimum protected.
request_119,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-17. None of the available options keeps the INR 151,200.00 minimum protected."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.00,2026-04-06,none,"Pay IDR 7,714,000.00 today. This leaves at least IDR 20,050,300.00 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800.00 available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 2025-08-05. Total cost IDR 21,380,319.99. This leaves at least IDR 12,588,500.00 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.00,2026-01-07,none,"Pay IDR 4,076,000.00 today. This leaves at least IDR 18,091,200.00 available over the next 90 days."
request_124,1498.29,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,"Use 3 installments of EUR 1,076.12, starting 2024-06-11. Total cost EUR 3,228.36. This leaves at least EUR 1,600.00 available."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468.00,2025-11-06,none,"Pay ZAR 6,468.00 today. This leaves at least ZAR 11,300.00 available over the next 90 days."
request_126,49535.88,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-07-17. None of the available options keeps the INR 129,700.00 minimum protected."
request_127,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-18. None of the available options keeps the ZAR 41,000.00 minimum protected."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168.00,2025-02-07,none,"Pay ZAR 25,168.00 today. This leaves at least ZAR 42,600.00 available over the next 90 days."
request_129,154.42,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-18. None of the available options keeps the USD 800.00 minimum protected.
request_130,662.82,affordable_later,wait,2025-01-14:1978.80,2025-01-14,none,"Pay USD 1,978.80 in full on 2025-01-14. Paying earlier would take the balance below the USD 1,400.00 minimum."
request_131,1497.39,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-15,none,"Use 3 installments of USD 643.14, starting 2025-05-06. Total cost USD 1,929.42. This leaves at least USD 1,100.00 available."
request_132,273.77,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-02-25. None of the available options keeps the USD 1,100.00 minimum protected."
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,"Do not make this payment by 2024-03-29. None of the available options keeps the IDR 9,986,200.00 minimum protected."
request_134,7343928.28,affordable_later,wait,2025-08-15:21831000.00,2025-08-15,none,"Pay IDR 21,831,000.00 in full on 2025-08-15. Paying earlier would take the balance below the IDR 15,902,500.00 minimum."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 today. This leaves at least USD 500.00 available over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,"Pay USD 560.40 today. This leaves at least USD 1,100.00 available over the next 90 days."
request_137,36357.04,affordable_later,wait,2025-11-14:80100.00,2025-11-14,none,"Pay INR 80,100.00 in full on 2025-11-14. Paying earlier would take the balance below the INR 71,800.00 minimum."
request_138,982.6,affordable_with_plan,partial_payment,2026-04-07:982.60|2026-04-14:274.34,2026-04-14,none,"Pay EUR 982.60 today and the remaining EUR 274.34 on 2026-04-14. This completes the full request and keeps the EUR 2,300.00 minimum protected."
request_139,2022.54,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 2024-09-07. Total cost USD 2,408.64. This leaves at least USD 1,500.00 available."
request_140,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-03-04. None of the available options keeps the ZAR 21,600.00 minimum protected."
request_141,22915.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-02-12. None of the available options keeps the INR 67,300.00 minimum protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700.00 available over the next 90 days."
request_143,4089.95,affordable_later,wait,2025-06-14:12584.00,2025-06-14,none,"Pay ZAR 12,584.00 in full on 2025-06-14. Paying earlier would take the balance below the ZAR 11,300.00 minimum."
request_144,28.26,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-07-26. None of the available options keeps the USD 600.00 minimum protected.
request_145,41354.63,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-26. None of the available options keeps the INR 155,400.00 minimum protected."
request_146,25072.0,affordable_later,wait,2025-10-14:449400.00,2025-10-14,none,"Pay INR 449,400.00 in full on 2025-10-14. Paying earlier would take the balance below the INR 108,600.00 minimum."
request_147,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-07. None of the available options keeps the EUR 900.00 minimum protected.
request_148,10459.2,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-14,none,"Use 3 installments of ZAR 7,710.56, starting 2024-06-14. Total cost ZAR 23,131.68. This leaves at least ZAR 20,000.00 available."
request_149,27842.46,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12,706.03, starting 2025-11-18. Total cost ZAR 38,118.09. This leaves at least ZAR 42,100.00 available."
request_150,70.73,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-16. None of the available options keeps the EUR 700.00 minimum protected.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000.00,2024-09-03,none,"Pay IDR 26,999,000.00 today. This leaves at least IDR 31,633,600.00 available over the next 90 days."
request_152,13184.68,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-14,none,"Use 3 installments of ZAR 4,812.43, starting 2025-02-12. Total cost ZAR 14,437.29. This leaves at least ZAR 11,900.00 available."
request_153,134.08,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-24. None of the available options keeps the USD 1,400.00 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. Total cost EUR 1,690.83. This leaves at least EUR 1,300.00 available."
request_155,61507.99,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-05-20. None of the available options keeps the INR 56,300.00 minimum protected."
request_156,9223.72,affordable_later,wait,2026-05-14:43076.00,2026-05-14,none,"Pay ZAR 43,076.00 in full on 2026-05-14. Paying earlier would take the balance below the ZAR 26,900.00 minimum."
request_157,6968890.9,affordable_later,wait,2024-04-15:23503000.00,2024-04-15,none,"Pay IDR 23,503,000.00 in full on 2024-04-15. Paying earlier would take the balance below the IDR 15,714,100.00 minimum."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 2025-08-07. Total cost INR 252,303.99. This leaves at least INR 131,400.00 available."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398.00,2026-01-04,none,"Pay ZAR 13,398.00 today. This leaves at least ZAR 8,700.00 available over the next 90 days."
request_160,556.21,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-14,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. Total cost EUR 1,296.15. This leaves at least EUR 1,200.00 available."
request_161,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23,010,400.00 minimum protected."
request_162,2758333.47,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-26. None of the available options keeps the IDR 24,161,100.00 minimum protected."
request_163,9469872.55,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the IDR 26,728,700.00 minimum protected."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240.00|2025-03-11:9366240.00|2025-04-08:9366240.00,2025-02-04,none,"Use 3 installments of IDR 9,366,240.00, starting 2025-02-11. Total cost IDR 28,098,720.00. This leaves at least IDR 29,550,500.00 available."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600.00,2026-04-06,none,"Pay INR 80,600.00 today. This leaves at least INR 95,000.00 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 2024-12-03. Total cost USD 3,023.91. This leaves at least USD 1,700.00 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802.00,2025-05-05,none,"Pay ZAR 43,802.00 today. This leaves at least ZAR 31,200.00 available over the next 90 days."
request_168,11499.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-16. None of the available options keeps the INR 114,400.00 minimum protected."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976.00,2024-03-04,none,"Pay ZAR 41,976.00 today. This leaves at least ZAR 18,700.00 available over the next 90 days."
request_170,34633488.24,affordable_with_plan,installments,2025-08-06:12804480.00|2025-09-03:12804480.00|2025-10-01:12804480.00,2025-08-14,none,"Use 3 installments of IDR 12,804,480.00, starting 2025-08-06. Total cost IDR 38,413,440.00. This leaves at least IDR 24,715,800.00 available."
request_171,113.76,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-10. None of the available options keeps the EUR 500.00 minimum protected.
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304.00|2024-07-03:5304.00,2024-06-05,none,"Use 2 installments of ZAR 5,304.00, starting 2024-06-05. Total cost ZAR 10,608.00. This leaves at least ZAR 27,200.00 available."
request_173,69248.19,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-12-14,none,"Use 3 installments of INR 39,173.33, starting 2025-11-21. Total cost INR 117,519.99. This leaves at least INR 79,100.00 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. Total cost EUR 1,192.05. This leaves at least EUR 700.00 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700.00 available over the next 90 days."
request_176,623.48,affordable_later,wait,2025-02-21:1239.70,2025-02-21,none,"Pay EUR 1,239.70 in full on 2025-02-21. Paying earlier would take the balance below the EUR 600.00 minimum."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300.00 available over the next 90 days."
