request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_44,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the INR 82,900.00 minimum protected."
request_45,21983000.0,affordable_now,full_payment,2026-07-06:21983000.00,2026-07-06,none,"Pay IDR 21,983,000.00 today. This leaves at least IDR 11,149,800.00 available over the next 90 days."
request_46,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-09. None of the available options keeps the INR 84,000.00 minimum protected."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.00,2025-05-05,none,"Pay IDR 38,114,000.00 today. This leaves at least IDR 30,049,000.00 available over the next 90 days."
request_48,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-24. None of the available options keeps the INR 71,300.00 minimum protected."
request_49,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-22. None of the available options keeps the IDR 20,275,700.00 minimum protected."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900.00,2025-08-06,none,"Pay INR 43,900.00 today. This leaves at least INR 99,700.00 available over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.00,2026-01-03,none,"Pay IDR 2,191,000.00 today. This leaves at least IDR 7,811,000.00 available over the next 90 days."
request_52,28870.0,affordable_now,full_payment,2024-06-05:28870.00,2024-06-05,none,"Pay INR 28,870.00 today. This leaves at least INR 41,500.00 available over the next 90 days."
request_53,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-20. None of the available options keeps the USD 2,100.00 minimum protected."
request_54,121528.0,not_affordable,not_recommended,none,2026-07-04,none,"Do not make this payment by 2026-08-21. None of the available options keeps the ZAR 37,000.00 minimum protected."
request_55,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-22. None of the available options keeps the INR 124,300.00 minimum protected."
request_56,881.56,not_affordable,not_recommended,none,2025-02-03,none,"Do not make this payment by 2025-03-13. None of the available options keeps the USD 2,100.00 minimum protected."
request_57,61446.0,affordable_now,full_payment,2026-04-05:61446.00,2026-04-05,none,"Pay ZAR 61,446.00 today. This leaves at least ZAR 42,700.00 available over the next 90 days."
request_58,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-25. None of the available options keeps the IDR 14,433,900.00 minimum protected."
request_59,140600.0,not_affordable,not_recommended,none,2025-05-04,none,"Do not make this payment by 2025-07-02. None of the available options keeps the INR 132,600.00 minimum protected."
request_60,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-04. None of the available options keeps the USD 400.00 minimum protected.
request_61,29062.0,not_affordable,not_recommended,none,2024-03-03,none,"Do not make this payment by 2024-05-24. None of the available options keeps the ZAR 36,700.00 minimum protected."
request_62,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-09. None of the available options keeps the USD 1,300.00 minimum protected."
request_63,145580.01,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-17. None of the available options keeps the INR 153,500.00 minimum protected."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-16. None of the available options keeps the INR 36,100.00 minimum protected."
request_65,54340.0,not_affordable,not_recommended,none,2025-11-06,none,"Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 15,500.00 minimum protected."
request_66,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-04-17. None of the available options keeps the INR 80,700.00 minimum protected."
request_67,2094.0,affordable_now,full_payment,2024-09-05:2094.00,2024-09-05,none,"Pay USD 2,094.00 today. This leaves at least USD 1,200.00 available over the next 90 days."
request_68,1349.63,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-16. None of the available options keeps the USD 1,500.00 minimum protected."
request_69,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-14. None of the available options keeps the EUR 700.00 minimum protected.
request_70,243900.0,affordable_now,full_payment,2024-12-06:243900.00,2024-12-06,none,"Pay INR 243,900.00 today. This leaves at least INR 115,000.00 available over the next 90 days."
request_71,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-05-28. None of the available options keeps the IDR 8,884,800.00 minimum protected."
request_72,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-07-14. None of the available options keeps the ZAR 12,200.00 minimum protected."
request_73,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2023-02-13. None of the available options keeps the INR 103,200.00 minimum protected."
request_74,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-21. None of the available options keeps the ZAR 21,900.00 minimum protected."
request_75,28270.0,not_affordable,not_recommended,none,2026-04-06,none,"Do not make this payment by 2026-06-12. None of the available options keeps the ZAR 39,000.00 minimum protected."
request_76,4455.6,not_affordable,not_recommended,none,2024-06-03,none,"Do not make this payment by 2024-07-30. None of the available options keeps the USD 1,800.00 minimum protected."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700.00,2025-11-05,none,"Pay INR 60,700.00 today. This leaves at least INR 82,200.00 available over the next 90 days."
request_78,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-14. None of the available options keeps the INR 55,200.00 minimum protected."
request_79,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-01. None of the available options keeps the EUR 1,000.00 minimum protected."
request_80,217500.0,not_affordable,not_recommended,none,2025-02-06,none,"Do not make this payment by 2025-02-21. None of the available options keeps the INR 121,300.00 minimum protected."
request_81,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-07-14. None of the available options keeps the USD 1,600.00 minimum protected."
request_82,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the USD 1,100.00 minimum protected."
request_83,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-17. None of the available options keeps the INR 37,800.00 minimum protected."
request_84,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the INR 91,300.00 minimum protected."
request_85,17883210.75,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-26. None of the available options keeps the IDR 6,396,300.00 minimum protected."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.00,2025-08-03,none,"Pay INR 46,300.00 today. This leaves at least INR 84,900.00 available over the next 90 days."
request_87,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the INR 185,900.00 minimum protected."
request_88,26092.0,not_affordable,not_recommended,none,2024-06-07,none,"Do not make this payment by 2024-08-25. None of the available options keeps the ZAR 25,800.00 minimum protected."
request_89,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 12,534,700.00 minimum protected."
request_90,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-23. None of the available options keeps the ZAR 7,600.00 minimum protected."
request_91,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the EUR 2,100.00 minimum protected."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034.00,2025-02-05,none,"Pay ZAR 34,034.00 today. This leaves at least ZAR 28,100.00 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900.00 available over the next 90 days."
request_94,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-12-22. None of the available options keeps the EUR 600.00 minimum protected.
request_95,553000.0,not_affordable,not_recommended,none,2025-05-06,none,"Do not make this payment by 2025-07-14. None of the available options keeps the INR 145,500.00 minimum protected."
request_96,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-12. None of the available options keeps the INR 56,500.00 minimum protected."
request_97,23496.0,not_affordable,not_recommended,none,2024-03-05,none,"Do not make this payment by 2024-05-24. None of the available options keeps the ZAR 29,700.00 minimum protected."
request_98,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-15. None of the available options keeps the ZAR 30,000.00 minimum protected."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062.00,2026-07-04,none,"Pay ZAR 18,062.00 today. This leaves at least ZAR 49,100.00 available over the next 90 days."
request_100,37114.0,not_affordable,not_recommended,none,2024-06-06,none,"Do not make this payment by 2024-08-16. None of the available options keeps the ZAR 32,500.00 minimum protected."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.00,2025-11-03,none,"Pay INR 143,500.00 today. This leaves at least INR 187,400.00 available over the next 90 days."
request_102,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-12. None of the available options keeps the EUR 900.00 minimum protected.
request_103,368300.0,affordable_now,full_payment,2024-09-07:368300.00,2024-09-07,none,"Pay INR 368,300.00 today. This leaves at least INR 125,500.00 available over the next 90 days."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204.00,2025-02-04,none,"Pay ZAR 17,204.00 today. This leaves at least ZAR 24,700.00 available over the next 90 days."
request_105,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-14. None of the available options keeps the INR 73,900.00 minimum protected."
request_106,2207.7,affordable_now,full_payment,2024-12-03:2207.70,2024-12-03,none,"Pay EUR 2,207.70 today. This leaves at least EUR 1,200.00 available over the next 90 days."
request_107,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-04. None of the available options keeps the EUR 1,600.00 minimum protected."
request_108,55308.0,affordable_now,full_payment,2026-07-07:55308.00,2026-07-07,none,"Pay ZAR 55,308.00 today. This leaves at least ZAR 24,100.00 available over the next 90 days."
request_109,1863.4,not_affordable,not_recommended,none,2024-03-04,none,"Do not make this payment by 2024-05-26. None of the available options keeps the EUR 1,700.00 minimum protected."
request_110,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-11. None of the available options keeps the ZAR 11,200.00 minimum protected."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.00,2026-04-03,none,"Pay IDR 16,625,000.00 today. This leaves at least IDR 23,022,800.00 available over the next 90 days."
request_112,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-06-14. None of the available options keeps the EUR 500.00 minimum protected.
request_113,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-10-19. None of the available options keeps the INR 82,300.00 minimum protected."
request_114,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-14. None of the available options keeps the INR 113,400.00 minimum protected."
request_115,80500.0,affordable_now,full_payment,2024-09-06:80500.00,2024-09-06,none,"Pay INR 80,500.00 today. This leaves at least INR 38,800.00 available over the next 90 days."
request_116,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-16. None of the available options keeps the INR 80,300.00 minimum protected."
request_117,880.0,affordable_now,full_payment,2026-07-05:880.00,2026-07-05,none,"Pay EUR 880.00 today. This leaves at least EUR 1,000.00 available over the next 90 days."
request_118,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-08. None of the available options keeps the EUR 600.00 minimum protected.
request_119,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-17. None of the available options keeps the INR 151,200.00 minimum protected."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.00,2026-04-06,none,"Pay IDR 7,714,000.00 today. This leaves at least IDR 20,050,300.00 available over the next 90 days."
request_121,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-03-14. None of the available options keeps the USD 800.00 minimum protected.
request_122,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-02. None of the available options keeps the IDR 12,588,500.00 minimum protected."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.00,2026-01-07,none,"Pay IDR 4,076,000.00 today. This leaves at least IDR 18,091,200.00 available over the next 90 days."
request_124,3104.2,not_affordable,not_recommended,none,2024-06-04,none,"Do not make this payment by 2024-08-20. None of the available options keeps the EUR 1,600.00 minimum protected."
request_125,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-14. None of the available options keeps the ZAR 11,300.00 minimum protected."
request_126,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-07-17. None of the available options keeps the INR 129,700.00 minimum protected."
request_127,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-18. None of the available options keeps the ZAR 41,000.00 minimum protected."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168.00,2025-02-07,none,"Pay ZAR 25,168.00 today. This leaves at least ZAR 42,600.00 available over the next 90 days."
request_129,2668.8,not_affordable,not_recommended,none,2026-04-04,none,Do not make this payment by 2026-06-18. None of the available options keeps the USD 800.00 minimum protected.
request_130,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the USD 1,400.00 minimum protected."
request_131,1855.2,not_affordable,not_recommended,none,2025-05-03,none,"Do not make this payment by 2025-07-08. None of the available options keeps the USD 1,100.00 minimum protected."
request_132,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-02-25. None of the available options keeps the USD 1,100.00 minimum protected."
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,"Do not make this payment by 2024-03-29. None of the available options keeps the IDR 9,986,200.00 minimum protected."
request_134,21831000.0,affordable_now,full_payment,2025-08-04:21831000.00,2025-08-04,none,"Pay IDR 21,831,000.00 today. This leaves at least IDR 15,902,500.00 available over the next 90 days."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 today. This leaves at least USD 500.00 available over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,"Pay USD 560.40 today. This leaves at least USD 1,100.00 available over the next 90 days."
request_137,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the INR 71,800.00 minimum protected."
request_138,1256.94,not_affordable,not_recommended,none,2026-04-07,none,"Do not make this payment by 2026-06-05. None of the available options keeps the EUR 2,300.00 minimum protected."
request_139,2316.0,not_affordable,not_recommended,none,2024-09-04,none,"Do not make this payment by 2024-11-17. None of the available options keeps the USD 1,500.00 minimum protected."
request_140,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-03-04. None of the available options keeps the ZAR 21,600.00 minimum protected."
request_141,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-02-12. None of the available options keeps the INR 67,300.00 minimum protected."
request_142,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-04. None of the available options keeps the USD 1,700.00 minimum protected."
request_143,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-15. None of the available options keeps the ZAR 11,300.00 minimum protected."
request_144,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-07-26. None of the available options keeps the USD 600.00 minimum protected.
request_145,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-26. None of the available options keeps the INR 155,400.00 minimum protected."
request_146,449400.0,affordable_now,full_payment,2025-08-03:449400.00,2025-08-03,none,"Pay INR 449,400.00 today. This leaves at least INR 108,600.00 available over the next 90 days."
request_147,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-07. None of the available options keeps the EUR 900.00 minimum protected.
request_148,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-18. None of the available options keeps the ZAR 20,000.00 minimum protected."
request_149,36652.0,not_affordable,not_recommended,none,2025-11-04,none,"Do not make this payment by 2026-01-19. None of the available options keeps the ZAR 42,100.00 minimum protected."
request_150,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-16. None of the available options keeps the EUR 700.00 minimum protected.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000.00,2024-09-03,none,"Pay IDR 26,999,000.00 today. This leaves at least IDR 31,633,600.00 available over the next 90 days."
request_152,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-13. None of the available options keeps the ZAR 11,900.00 minimum protected."
request_153,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-24. None of the available options keeps the USD 1,400.00 minimum protected."
request_154,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-14. None of the available options keeps the EUR 1,300.00 minimum protected."
request_155,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-05-20. None of the available options keeps the INR 56,300.00 minimum protected."
request_156,43076.0,affordable_now,full_payment,2026-04-03:43076.00,2026-04-03,none,"Pay ZAR 43,076.00 today. This leaves at least ZAR 26,900.00 available over the next 90 days."
request_157,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. None of the available options keeps the IDR 15,714,100.00 minimum protected."
request_158,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-02. None of the available options keeps the INR 131,400.00 minimum protected."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398.00,2026-01-04,none,"Pay ZAR 13,398.00 today. This leaves at least ZAR 8,700.00 available over the next 90 days."
request_160,1246.3,not_affordable,not_recommended,none,2024-06-06,none,"Do not make this payment by 2024-08-20. None of the available options keeps the EUR 1,200.00 minimum protected."
request_161,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23,010,400.00 minimum protected."
request_162,83923000.0,affordable_now,full_payment,2026-07-05:83923000.00,2026-07-05,none,"Pay IDR 83,923,000.00 today. This leaves at least IDR 24,161,100.00 available over the next 90 days."
request_163,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the IDR 26,728,700.00 minimum protected."
request_164,27018000.0,not_affordable,not_recommended,none,2025-02-04,none,"Do not make this payment by 2025-04-15. None of the available options keeps the IDR 29,550,500.00 minimum protected."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600.00,2026-04-06,none,"Pay INR 80,600.00 today. This leaves at least INR 95,000.00 available over the next 90 days."
request_166,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-05. None of the available options keeps the USD 1,700.00 minimum protected."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802.00,2025-05-05,none,"Pay ZAR 43,802.00 today. This leaves at least ZAR 31,200.00 available over the next 90 days."
request_168,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-16. None of the available options keeps the INR 114,400.00 minimum protected."
request_169,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-16. None of the available options keeps the ZAR 18,700.00 minimum protected."
request_170,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-04. None of the available options keeps the IDR 24,715,800.00 minimum protected."
request_171,1878.8,not_affordable,not_recommended,none,2026-07-03,none,Do not make this payment by 2026-09-10. None of the available options keeps the EUR 500.00 minimum protected.
request_172,7955.05,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-15. None of the available options keeps the ZAR 27,200.00 minimum protected."
request_173,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-17. None of the available options keeps the INR 79,100.00 minimum protected."
request_174,1146.2,not_affordable,not_recommended,none,2026-04-04,none,Do not make this payment by 2026-06-07. None of the available options keeps the EUR 700.00 minimum protected.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700.00 available over the next 90 days."
request_176,1239.7,affordable_now,full_payment,2025-02-03:1239.70,2025-02-03,none,"Pay EUR 1,239.70 today. This leaves at least EUR 600.00 available over the next 90 days."
request_177,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-25. None of the available options keeps the USD 1,300.00 minimum protected."
request_178,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-12. None of the available options keeps the EUR 1,400.00 minimum protected."
request_179,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-15. None of the available options keeps the IDR 41,430,800.00 minimum protected."
request_180,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-02. None of the available options keeps the INR 37,300.00 minimum protected."
request_181,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-07. None of the available options keeps the USD 2,000.00 minimum protected."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714.00,2025-08-05,none,"Pay ZAR 65,714.00 today. This leaves at least ZAR 31,100.00 available over the next 90 days."
request_183,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-18. None of the available options keeps the IDR 11,878,300.00 minimum protected."
request_184,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. None of the available options keeps the INR 110,800.00 minimum protected."
request_185,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the EUR 1,300.00 minimum protected."
request_186,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the ZAR 22,000.00 minimum protected."
request_187,187500.0,affordable_now,full_payment,2024-09-05:187500.00,2024-09-05,none,"Pay INR 187,500.00 today. This leaves at least INR 128,300.00 available over the next 90 days."
request_188,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04. None of the available options keeps the EUR 900.00 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400.00 available over the next 90 days.
request_190,2557.5,affordable_now,full_payment,2024-12-06:2557.50,2024-12-06,none,"Pay EUR 2,557.50 today. This leaves at least EUR 1,600.00 available over the next 90 days."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500.00 available over the next 90 days.
request_192,2046.0,affordable_now,full_payment,2026-04-05:2046.00,2026-04-05,none,"Pay USD 2,046.00 today. This leaves at least USD 1,000.00 available over the next 90 days."
request_193,1212.2,not_affordable,not_recommended,none,2024-03-07,none,"Do not make this payment by 2024-05-28. None of the available options keeps the EUR 1,000.00 minimum protected."
request_194,49602.43,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-23. None of the available options keeps the INR 113,600.00 minimum protected."
request_195,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-11. None of the available options keeps the EUR 700.00 minimum protected.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500.00 available over the next 90 days.
request_197,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-21. None of the available options keeps the IDR 26,245,900.00 minimum protected."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800.00,2026-07-07,none,"Pay INR 185,800.00 today. This leaves at least INR 124,300.00 available over the next 90 days."
request_199,23674000.0,not_affordable,not_recommended,none,2024-09-04,none,"Do not make this payment by 2024-11-10. None of the available options keeps the IDR 25,359,500.00 minimum protected."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000.00,2025-02-06,none,"Pay IDR 21,717,000.00 today. This leaves at least IDR 20,114,600.00 available over the next 90 days."
request_201,10583660.7,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-05-16. None of the available options keeps the IDR 17,304,500.00 minimum protected."
request_202,90844.43,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-14. None of the available options keeps the INR 147,800.00 minimum protected."
request_203,1442.1,not_affordable,not_recommended,none,2025-05-07,none,"Do not make this payment by 2025-07-08. None of the available options keeps the EUR 1,400.00 minimum protected."
request_204,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-31. None of the available options keeps the EUR 1,300.00 minimum protected."
request_205,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-19. None of the available options keeps the IDR 13,994,300.00 minimum protected."
request_206,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-09-29. None of the available options keeps the EUR 900.00 minimum protected.
request_207,11830.0,affordable_now,full_payment,2026-07-05:11830.00,2026-07-05,none,"Pay ZAR 11,830.00 today. This leaves at least ZAR 13,600.00 available over the next 90 days."
request_208,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-13. None of the available options keeps the IDR 10,470,700.00 minimum protected."
request_209,56914.0,not_affordable,not_recommended,none,2025-11-04,none,"Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 18,400.00 minimum protected."
request_210,1360.02,not_affordable,not_recommended,none,2026-04-06,none,"Do not make this payment by 2026-06-23. None of the available options keeps the USD 2,000.00 minimum protected."
request_211,1788.6,affordable_now,full_payment,2024-09-03:1788.60,2024-09-03,none,"Pay EUR 1,788.60 today. This leaves at least EUR 1,500.00 available over the next 90 days."
request_212,9695808.31,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-28. None of the available options keeps the IDR 29,579,800.00 minimum protected."
request_213,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-22. None of the available options keeps the USD 2,100.00 minimum protected."
request_214,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-28. None of the available options keeps the INR 174,900.00 minimum protected."
